City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Syumsi,RU,2021-02-14 09:11:50,57.1111,51.6149,10.56,89,3,11.14
267,Pevek,RU,2021-02-14 09:11:51,69.7008,170.3133,-14.13,89,100,3.74
268,Viedma,AR,2021-02-14 09:11:51,-40.8135,-62.9967,64.99,92,100,1.79
269,Abu Samrah,SY,2021-02-14 09:11:51,35.3029,37.1841,63.95,37,0,4.23
270,Pahrump,US,2021-02-14 09:11:14,36.2083,-115.9839,46.0,41,0,1.01
271,Karratha,AU,2021-02-14 09:11:51,-20.7377,116.8463,85.21,61,4,12.8
272,Namibe,AO,2021-02-14 09:11:52,-15.1961,12.1522,78.8,61,20,4.7
273,Plavinas,LV,2021-02-14 09:11:52,56.6178,25.7255,25.74,96,95,6.49
274,Tymovskoye,RU,2021-02-14 09:11:52,50.8456,142.655,16.63,94,55,3.96
275,Berbera,SO,2021-02-14 09:11:52,10.4396,45.0143,79.61,52,0,9.17
276,Vinh,VN,2021-02-14 09:06:57,18.6667,105.6667,71.6,66,55,8.28
277,High Level,CA,2021-02-14 09:11:53,58.5169,-117.136,-18.4,76,1,2.3
278,Sola,VU,2021-02-14 09:11:53,-13.8833,167.55,78.8,94,75,11.59
279,Coruripe,BR,2021-02-14 09:11:53,-10.1256,-36.1756,76.08,79,14,5.86
280,Kenai,US,2021-02-14 09:11:53,60.5544,-151.2583,18.0,67,1,17.27
281,Acapulco,MX,2021-02-14 09:08:35,16.8634,-99.8901,66.96,52,0,5.68
282,Kuurne,BE,2021-02-14 09:09:08,50.8599,3.2708,27.0,61,55,13.4
283,Sistranda,NO,2021-02-14 09:11:54,63.7256,8.834,32.0,64,75,6.91
284,Ilhabela,BR,2021-02-14 09:11:54,-23.7781,-45.3581,74.61,80,92,4.34
285,Snasa,NO,2021-02-14 09:11:54,64.2457,12.3778,26.56,95,95,6.04
286,Tagusao,PH,2021-02-14 09:11:54,9.1924,117.8141,78.3,81,100,11.59
287,Sur,OM,2021-02-14 09:11:54,22.5667,59.5289,76.77,53,16,7.11
288,Mackenzie,CA,2021-02-14 09:11:55,55.2999,-123.1698,-11.2,84,1,1.7
289,Flinders,AU,2021-02-14 09:11:55,-34.5833,150.8552,68.0,79,4,1.01
290,Maragogi,BR,2021-02-14 09:08:11,-9.0122,-35.2225,76.84,85,66,5.82
291,Berdigestyakh,RU,2021-02-14 09:11:55,62.0989,126.6992,-11.07,89,100,6.24
